review_text,sentiment
This product is amazing! I love it.,positive
Terrible experience. Would not recommend.,negative
"Pretty decent, but has some flaws.",neutral
Absolutely fantastic! Exceeded my expectations.,positive
Horrible product. Total waste of money.,negative
"It's okay, not great but not bad either.",neutral
Very satisfied with the quality and service.,positive
Not worth the price. Very disappointing.,negative
Great product! Will buy again for sure.,positive
Awful experience. Customer service was rude.,negative
